19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Why don't you tell me about ""Miss",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/If you didn't kill him, then who",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Wouldn't it have been easier to just",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Scared, at first. Then - exhilarated.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Because you weren't wasting my time.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I don't know. Next time I'll have to",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I never thought about it.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/That doesn't interest me, Doctor.",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/I don't know. Is it?",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Who killed Raspail, Doctor...? You",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(almost a whisper)",0.8,NameDatabase@34ce8af7
19,19,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Buffalo Bill...?",0.8,NameDatabase@34ce8af7
19,19,"Lecter",NAMEFINDER_ME,"stationed so that Dr . Lecter cannot avoid seeing it .",1.0,NameDatabase@34ce8af7
19,19,"Lecter",NAMEFINDER_ME,"... Why , Dr . Lecter ? The food carrier suddenly",1.0,NameDatabase@34ce8af7
19,19,"Mofet",NAMEFINDER_ME,"tell me about "" Miss Mofet ? "" You wanted me",0.7066751161628401,NameDatabase@34ce8af7
19,19,"Benjamin Raspail",NAMEFINDER_ME,") His real name is Benjamin Raspail . A former patient of",1.0,NameDatabase@34ce8af7
19,19,"Lecter",NAMEFINDER_ME,"deal directly . Dr . Lecter slowly turns up the rheostat",1.0,NameDatabase@34ce8af7
19,19,"Jack Crawford",NAMEFINDER_ME,"boy . Someone you and Jack Crawford are most anxious to meet",1.0,NameDatabase@34ce8af7
19,19,"Bill",NAMEFINDER_ME,"... ? ( incredulous ) Bill killed him , all those",1.0,NameDatabase@34ce8af7
19,19,"Lecter",NAMEFINDER_ME,"impossible . But Dr . Lecter only smiles , enigmatically .",1.0,NameDatabase@34ce8af7
20,20,"CATHERINE",SPEAKER_ABOVE_DIALOGUE,"CATHERINE/This stuff's givin' me the munchies.",1.0,NameDatabase@34ce8af7
20,20,"CODY",SPEAKER_ABOVE_DIALOGUE,"CODY/Shit. Left the groceries in the car.",1.0,NameDatabase@34ce8af7
20,20,"CATHERINE",SPEAKER_ABOVE_DIALOGUE,"CATHERINE/'S okay, I'll go.",1.0,NameDatabase@34ce8af7
21,21,"CATHERINE",SPEAKER_ABOVE_DIALOGUE,"CATHERINE/Help you with that?",1.0,NameDatabase@34ce8af7
21,21,"MAN",SPEAKER_ABOVE_DIALOGUE,"MAN/Would you? Thanks.",1.0,NameDatabase@34ce8af7
21,21,"MAN",SPEAKER_WITH_VO_OS,"MAN (O.S.)/Let's slide it up, you mind?",1.0,NameDatabase@34ce8af7
21,21,"Catherine",NAMEFINDER_ME,"Catherine straightens , with her bag",1.0,NameDatabase@34ce8af7
21,21,"Catherine",NAMEFINDER_ME,"lights make yellow pools . Catherine hesitates , then crosses towards",1.0,NameDatabase@34ce8af7
21,21,"A MAN",PERSON_NOUN,"A MAN",0.7,null
21,21,"MAN",PERSON_NOUN,"MAN",0.7,null
