SceneNumber,CanonicalNames,SceneLengthsEights
62,JOEL BARISH,6,INT,INT . CLEMENTINE'S APARTMENT - NIGHT,NIGHT
63,MARY,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
63,STAN,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
63,HOWARD MIERZWIAK,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
63,JOEL BARISH,4,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
64,PATRICK,1,EXT,EXT . STREET - NIGHT,NIGHT
65,PATRICK,6,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
65,STAN,6,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
65,CLEMENTINE,6,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
65,JOEL BARISH,6,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
66,STAN,1,INT,INT . JOEL'S APARTMENT - CONTINUOUS,CONTINUOUS
66,MARY,1,INT,INT . JOEL'S APARTMENT - CONTINUOUS,CONTINUOUS
67,PATRICK,2,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
67,STAN,2,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
67,CLEMENTINE,2,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
67,JOEL BARISH,2,INT,INT . CLEMENTINE'S APARTMENT - CONTINUOUS,CONTINUOUS
68,HOWARD MIERZWIAK,5,EXT,EXT . CHARLES RIVER - NIGHT,NIGHT
68,JOEL BARISH,5,EXT,EXT . CHARLES RIVER - NIGHT,NIGHT
69,PATRICK,3,INT,INT . CLEMENTINE'S APARTMENT - NIGHT,NIGHT
69,CLEMENTINE,3,INT,INT . CLEMENTINE'S APARTMENT - NIGHT,NIGHT
70,STAN,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
70,MARY,1,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
71,CLEMENTINE,3,EXT,EXT . FOREST - DAY,DAY
71,JOEL BARISH,3,EXT,EXT . FOREST - DAY,DAY
72,JOEL BARISH,4,INT,INT . JOEL'S APARTMENT - DAY,DAY
72,CLEMENTINE,4,INT,INT . JOEL'S APARTMENT - DAY,DAY
73,CLEMENTINE,5,INT,INT . KITCHEN - DAY,DAY
73,JOEL BARISH,5,INT,INT . KITCHEN - DAY,DAY
74,STAN,7,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
74,MARY,7,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
74,HOWARD MIERZWIAK,7,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
74,LISTEN,7,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
75,PATRICK,3,INT,INT . MIERZWIAK'S BEDROOM - CONTINUOUS,CONTINUOUS
75,HOWARD MIERZWIAK,3,INT,INT . MIERZWIAK'S BEDROOM - CONTINUOUS,CONTINUOUS
75,STAN,3,INT,INT . MIERZWIAK'S BEDROOM - CONTINUOUS,CONTINUOUS
76,MARY,2,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
76,STAN,2,INT,INT . JOEL'S APARTMENT - NIGHT,NIGHT
77,GROSS,8,INT,INT . KITCHEN - DAY,DAY
77,JOEL BARISH,8,INT,INT . KITCHEN - DAY,DAY
77,CLEMENTINE,8,INT,INT . KITCHEN - DAY,DAY
78,PATRICK,1,INT,INT . CLEMENTINE'S CAR - NIGHT,NIGHT
78,CLEMENTINE,1,INT,INT . CLEMENTINE'S CAR - NIGHT,NIGHT
79,MARY,8,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
79,HOWARD MIERZWIAK,8,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
79,STAN,8,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
80,JOEL BARISH,2,INT,INT . KITCHEN - DAY,DAY
80,CLEMENTINE,2,INT,INT . KITCHEN - DAY,DAY
80,HOUND,2,INT,INT . KITCHEN - DAY,DAY
81,JOEL BARISH,1,INT,INT . CAR - NIGHT,NIGHT
82,HOWARD MIERZWIAK,2,INT,INT . JOEL'S BEDROOM - NIGHT,NIGHT
