SceneNumber,CanonicalNames,SceneLengthsEights
153,SAD WOMAN,3,EXT,AFTERNOON
153,OLD MAN,3,EXT,AFTERNOON
154,SAD WOMAN,2,INT,DAY
154,MARY,2,INT,DAY
154,HOWARD MIERZWIAK,2,INT,DAY
156,MARY,2,INT,
156,OLD MAN,2,INT,
158,MARY,4,INT,DAY
158,HOWARD MIERZWIAK,4,INT,DAY
158,OLD MAN,4,INT,DAY
158,SECOND OLD WOMAN,4,INT,DAY
159,KRUCZYNSKI,3,INT,A FEW MINUTES LATER
159,HOWARD MIERZWIAK,3,INT,A FEW MINUTES LATER
159,MARY,3,INT,A FEW MINUTES LATER
159,OLD MAN,3,INT,A FEW MINUTES LATER
159,JOEL BARISH,3,INT,A FEW MINUTES LATER
159,SECOND OLD WOMAN,3,INT,A FEW MINUTES LATER
160,SECOND OLD WOMAN,1,INT,NIGHT
161,SECOND OLD WOMAN,1,INT,
162,SECOND OLD WOMAN,1,INT,CONTINUOUS
163,OLD MAN,2,INT,NIGHT
